epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.4954,0.76572,1.78932,0.98547,0.86805,0.91805,0.94772,0.74889,0.70091,1.4989,0.87583,0.00042,0.00042,0.00042
2,172.64,0.79858,1.08693,0.99133,0.96719,0.95349,0.98275,0.81629,0.74532,1.54815,0.88365,0.000851486,0.000851486,0.000851486
3,281.732,0.82933,1.01172,0.99447,0.897,0.81024,0.91359,0.72443,0.75129,1.58073,0.90344,0.00127426,0.00127426,0.00127426
4,370.726,0.7585,0.92067,0.96949,0.97288,0.83423,0.93117,0.74615,0.71383,1.51318,0.88379,0.00168832,0.00168832,0.00168832
5,442.705,0.77593,0.94102,0.98659,0.89225,0.88372,0.93804,0.74607,0.73707,1.50724,0.92571,0.0019208,0.0019208,0.0019208
6,543.442,0.76888,0.87483,0.96284,0.9989,0.86047,0.95912,0.79354,0.69275,1.20497,0.8893,0.001901,0.001901,0.001901
7,638.263,0.80811,0.83371,0.97194,0.94835,0.90698,0.96915,0.79537,0.71231,1.08377,0.8938,0.0018812,0.0018812,0.0018812
8,714.136,0.72671,0.81558,0.95264,0.99618,0.86047,0.9682,0.79596,0.65173,0.90861,0.86202,0.0018614,0.0018614,0.0018614
9,819.735,0.73627,0.80398,0.95145,0.97566,1,0.985,0.83894,0.66278,1.0014,0.8678,0.0018416,0.0018416,0.0018416
10,874.745,0.79593,0.81828,0.99187,0.95331,0.94966,0.98548,0.83209,0.73022,1.06904,0.88682,0.0018218,0.0018218,0.0018218
11,929.735,0.74722,0.72846,0.96465,0.93459,0.99697,0.98953,0.81208,0.74159,0.92786,0.89647,0.001802,0.001802,0.001802
12,981.31,0.73783,0.6856,0.94487,0.99707,1,0.995,0.84828,0.63146,0.71007,0.85052,0.0017822,0.0017822,0.0017822
13,1037.83,0.75181,0.70647,0.96101,0.99619,1,0.995,0.85563,0.6475,0.73548,0.85541,0.0017624,0.0017624,0.0017624
14,1094.76,0.73012,0.65136,0.95733,0.9745,1,0.995,0.86963,0.57357,0.86113,0.82762,0.0017426,0.0017426,0.0017426
15,1157.54,0.73178,0.61866,0.95894,0.99611,1,0.995,0.82507,0.6198,0.72211,0.83826,0.0017228,0.0017228,0.0017228
16,1224.6,0.68748,0.63787,0.94794,0.99791,1,0.995,0.84249,0.60277,0.6371,0.8323,0.001703,0.001703,0.001703
17,1288.55,0.70098,0.60641,0.9418,0.97552,1,0.99455,0.84865,0.60338,0.66909,0.85325,0.0016832,0.0016832,0.0016832
18,1349.39,0.68084,0.58655,0.94373,0.9981,1,0.995,0.84634,0.62595,0.58081,0.84575,0.0016634,0.0016634,0.0016634
19,1411.72,0.66026,0.56332,0.92765,0.9985,1,0.995,0.85829,0.62264,0.54873,0.84932,0.0016436,0.0016436,0.0016436
20,1473.76,0.75259,0.60829,0.96464,0.99417,1,0.995,0.83789,0.65084,0.67337,0.84875,0.0016238,0.0016238,0.0016238
21,1547.78,0.7001,0.56316,0.92936,1,0.99872,0.995,0.86223,0.61214,0.55623,0.84201,0.001604,0.001604,0.001604
22,1611.36,0.67575,0.53478,0.93757,0.9772,0.99701,0.99455,0.85636,0.60158,0.54727,0.83608,0.0015842,0.0015842,0.0015842
23,1671.3,0.66991,0.53014,0.94906,0.97563,1,0.98932,0.85669,0.60077,0.61828,0.83442,0.0015644,0.0015644,0.0015644
24,1734.41,0.70983,0.56472,0.96642,0.99656,1,0.995,0.85509,0.61433,0.52472,0.84498,0.0015446,0.0015446,0.0015446
25,1795.37,0.67199,0.52739,0.93856,0.99636,0.97674,0.99455,0.85848,0.63764,0.50644,0.84844,0.0015248,0.0015248,0.0015248
26,1862.69,0.69206,0.51794,0.98142,0.97796,1,0.995,0.8709,0.59795,0.49021,0.84132,0.001505,0.001505,0.001505
27,1924.72,0.68131,0.56102,0.96978,0.99538,1,0.995,0.85833,0.5911,0.49284,0.83702,0.0014852,0.0014852,0.0014852
28,1985.9,0.67181,0.50005,0.9518,0.9981,1,0.995,0.848,0.60162,0.42158,0.84378,0.0014654,0.0014654,0.0014654
29,2053.77,0.70017,0.53309,0.9676,0.99807,1,0.995,0.85186,0.61073,0.4418,0.84397,0.0014456,0.0014456,0.0014456
30,2117.38,0.67189,0.51915,0.95182,0.99828,1,0.995,0.85896,0.58312,0.45575,0.84173,0.0014258,0.0014258,0.0014258
31,2187.27,0.61569,0.47812,0.92719,0.97478,1,0.99295,0.85946,0.58816,0.49518,0.84381,0.001406,0.001406,0.001406
32,2255.94,0.68869,0.48728,0.95683,0.97579,1,0.98659,0.84431,0.59342,0.51578,0.84081,0.0013862,0.0013862,0.0013862
33,2320.64,0.64433,0.48373,0.92855,0.97587,1,0.99364,0.86198,0.59184,0.50282,0.83819,0.0013664,0.0013664,0.0013664
34,2374.28,0.67577,0.46463,0.93582,0.99815,1,0.995,0.86519,0.63173,0.43162,0.84781,0.0013466,0.0013466,0.0013466
35,2427.59,0.64762,0.46618,0.92943,1,0.99874,0.995,0.85792,0.62323,0.42507,0.84864,0.0013268,0.0013268,0.0013268
36,2484.41,0.67962,0.48304,0.95445,0.97587,1,0.99295,0.86887,0.6028,0.51214,0.8526,0.001307,0.001307,0.001307
37,2544.99,0.63967,0.45262,0.94012,0.97591,1,0.98773,0.84902,0.63664,0.52838,0.85446,0.0012872,0.0012872,0.0012872
38,2606.77,0.66701,0.48637,0.94666,0.97595,1,0.98568,0.85052,0.6078,0.47904,0.84432,0.0012674,0.0012674,0.0012674
39,3127.44,0.65423,0.48467,0.95655,0.99751,1,0.995,0.841,0.63251,0.4239,0.84998,0.0012476,0.0012476,0.0012476
40,3181.99,0.63377,0.43927,0.93343,0.99849,0.97674,0.97887,0.83987,0.60609,0.42708,0.84515,0.0012278,0.0012278,0.0012278
41,3233.71,0.66961,0.44397,0.93615,0.97502,0.97674,0.97489,0.80529,0.63755,0.4788,0.85126,0.001208,0.001208,0.001208
42,3286.62,0.62601,0.44507,0.92056,0.97593,1,0.99136,0.87319,0.59459,0.45156,0.83951,0.0011882,0.0011882,0.0011882
43,3339.42,0.66268,0.44001,0.9377,0.97558,1,0.99136,0.87644,0.55399,0.4724,0.82794,0.0011684,0.0011684,0.0011684
